Rather unbelievable...,Toomas Hendrik Ilves
Sign up now to be covered in the new year:  #BuyNowSaveLater,Barack Obama
"Bye, one follower troll",Toomas Hendrik Ilves
"Non-Americans, be warned: There will be no return to normal after Trump - The Washington Post",Toomas Hendrik Ilves
Pissy Mitch McConnell Doesn't Like Being Called Out for Helping Russia Hack Elections | Vanity Fair,Toomas Hendrik Ilves
Sounds like a job for the great @bellingcat,Toomas Hendrik Ilves
The Democrats lost so BIG today. Their Party is in shambles right now...,Donald J. Trump
"In Hong Kong Protests, Faces Become Weapons",Toomas Hendrik Ilves
"I am fighting the Fake (Corrupt) News, the Deep State, the Democrats, and the few remaining Republicans In Name Only (RINOS, who are on mouth to mouth resuscitation), with the help of some truly great Republicans, and others. We are Winning big (150th Federal Judge this week)!",Donald J. Trump
Opinion | Hong Kong and Russia protesters fight for democracy. The West should listen and learn.,Toomas Hendrik Ilves
"Just left Dayton, Ohio, where I met with the Victims &amp; families, Law Enforcement, Medical Staff &amp; First Responders. It was a warm &amp; wonderful visit. Tremendous enthusiasm &amp; even Love. Then I saw failed Presidential Candidate (0%) Sherrod Brown &amp; Mayor Whaley totally.....",Donald J. Trump
"For the record, Denmark is only at 1.35% of GDP for NATO spending. They are a wealthy country and should be at 2%. We protect Europe and yet, only 8 of the 28 NATO countries are at the 2% mark. The United States is at a much, much higher level than that....",Donald J. Trump
"@FoxNews bombshell information reports that the so-called Whistleblower did not have firsthand knowledge of that phone conversation with Ukraine's President. Wow! @HARRISFAULKNER It is all a Democrat/Adam Schiff Scam! Doing this for 3 years now, and found NOTHING!",Donald J. Trump
I suspect you'd have to be a 45 year old parent to know the answer to this question.,Toomas Hendrik Ilves
"Democrats would rather talk about gun control than get something done. Governor John Sununu @FoxNews @BillHemmer The big questions are, will they move the goalposts and, is this just a ploy to TAKE YOUR GUNS AWAY? I hope NOT on both counts, but I'll be able to figure it out!",Donald J. Trump
The recipe for success in the Estonian basic education system  via @estonianworld,Toomas Hendrik Ilves
"So why didn't the highly conflicted Robert Mueller investigate how and why Crooked Hillary Clinton deleted and acid washed 33,000 Emails immediately AFTER getting a SUBPOENA from the United States Congress? She must have GREAT lawyers!",Donald J. Trump
Moscow Protests Are Good News for Opposition-and Siloviki  via @CarnegieRu,Toomas Hendrik Ilves
You have the power to make history. Apply to become an @OFA spring fellow-the deadline is today:,Barack Obama
"If the Fed would cut, we would have one of the biggest Stock Market increases in a long time. Badly run and weak companies are smartly blaming these small Tariffs instead of themselves for bad management...and who can really blame them for doing that? Excuses!",Donald J. Trump
thread,Toomas Hendrik Ilves
Looks more and more like a state-ordered killing on EU soil. No such person exists in Russia yet he left Russia and through Russian passport control where passengers are checked in the passport data base. How was that possible?,Toomas Hendrik Ilves
